"ID","manufacturer","model","model_name","year","body_style","power","ccm","cylinders","steering","transmission","drive","fuel","condition","price"
212064,"ALPINA","B10","B10 V8 S",2002,"Saloon",276,4837,8,"Left (LHD)","Automatic","Rear","Petrol","Original",42500
246106,"Cadillac","DeVille","DeVille Convertible",1969,"Convertible",194,7735,8,"Left (LHD)","Manual","Rear","Petrol","Original",17750
246103,"Mazda","MX-5","MX-5 1.8",2007,"Convertible",93,1798,4,"Left (LHD)","Manual","Rear","Petrol","Original",9900
232947,"Chevrolet","Corvette","Corvette Sting Ray Convertible",1964,"Convertible",221,5358,8,"Left (LHD)","Manual","Rear","Petrol","Original",67500
246937,"BMW","3 Series","330Ci",2001,"Convertible",170,2979,6,"Left (LHD)","Automatic","Rear","Petrol","Original",15900
246920,"Bentley","Turbo R","Turbo R",1995,"Saloon",265,6750,8,"Left (LHD)","Automatic","Rear","Petrol","Original",29900
246915,"Bentley","Arnage","Arnage Green Label",1998,"Saloon",260,4398,8,"Left (LHD)","Automatic","Rear","Petrol","Original",35900
246888,"Ford","Sierra","Sierra RS Cosworth",1989,"Saloon",150,1993,4,"Right (RHD)","Manual","Rear","Petrol","Original",71266
246879,"Mercedes-Benz","SL-Class","SL 350",2007,"Convertible",200,3498,6,"Right (RHD)","Automatic","Rear","Petrol","Original",11287
246878,"Mercedes-Benz","SLK","SLK 320",2003,"Convertible",160,3199,6,"Right (RHD)","Automatic","Rear","Petrol","Original",11462
246877,"Porsche","Boxster","Boxster S",2000,"Convertible",185,3179,6,"Right (RHD)","Automatic","Rear","Petrol","Original",12281
246876,"Morris","Minor","Minor 1000",1967,"Convertible",35,1098,4,"Right (RHD)","Manual","Rear","Petrol","Original",13743
246875,"Mercedes-Benz","123","230 E",1984,"Saloon",100,2299,4,"Right (RHD)","Automatic","Rear","Petrol","Restored",17251
246874,"Mercedes-Benz","SL-Class","300 SL-24",1992,"Convertible",170,2960,6,"Right (RHD)","Automatic","Rear","Petrol","Original",22515
246873,"Porsche","928","928 S",1986,"Coupe",172,4664,8,"Right (RHD)","Automatic","Rear","Petrol","Original",31287
246871,"HMC","Mk IV","MK IV",1998,"Convertible",138,3948,8,"Right (RHD)","Manual","Rear","Petrol","Original",64912
246867,"Mercedes-Benz","E-Class","300 TE 4-Matic",1993,"Estate",132,2962,6,"Left (LHD)","Automatic","4WD","Petrol","Restored",15000
246870,"Mercedes-Benz","SL-Class","280 SL",1970,"Convertible",125,2778,6,"Left (LHD)","Manual","Rear","Petrol","Part-Restored",89474
246850,"Mercedes-Benz","E-Class","E 320",1993,"Convertible",162,3199,6,"Left (LHD)","Automatic","Rear","Petrol","Original",39900
246854,"Alfa Romeo","Giulia","Giulia Nuova Super 1300",1976,"Saloon",65,1290,4,"Left (LHD)","Manual","Rear","Petrol","Original",8600
